Report generated 27 January 2026 02:19:27 PM

"Information on the Medicine Shortage Reports Database"
"The TGA publishes information about medicines in Australia that are in shortage, may shortly become subject to shortage or have been discontinued from supply. This information is based on details provided to the TGA by sponsors and is published on the TGA’s Medicine Shortage Reports Database."
"More information about medicine shortages is available at https://www.tga.gov.au/hubs/medicine-shortages."
""
"About the release of this information"
"While reasonable care is taken to ensure that the information is an accurate record of medicine shortages or discontinuations of supply that responsible entities have reported to the TGA, the TGA does not guarantee or warrant the accuracy, reliability, completeness or currency of the information (particularly as the Medicine Shortage Reports Database is subject to frequent updates because of the mandatory reporting requirements) or its usefulness in achieving any purpose."
"To the fullest extent permitted by law, including but not limited to section 61A of the Therapeutic Goods Act 1989, the TGA will not be liable for any loss, damage, cost or expense incurred in or arising by reason of any person relying on this information."

"ARTG ID","ARTG name","Active ingredients","Dosage form","Quantity of active ingredients","Sponsor","Phone","Shortage status","Supply impact start date","Supply impact end date","Deletion from market","Shortage impact rating","Availability","Reason","Management action","Last updated"
"10013","TECHNESCAN MAG3 Kit for preparation of Technetium (99mTc) mertiatide powder for injection multidose vial","betiatide","Injection, powder for","1 mg","Landauer Radiopharmaceuticals Pty Ltd","0286514000","Current","7/11/2025","20/02/2026",,"Low","Unavailable","Manufacturing","Sponsor is working to expedite the next shipment.","13/01/2026"
"100517","Q-VAX Q FEVER VACCINE 0.5mL injection syringe","Coxiella burnetii","Injection","50 microgram/mL","Seqirus Pty Ltd","1800 642 865","Current","12/01/2026","30/06/2026",,"Critical","Limited Availability","Manufacturing","Sponsor is closely controlling the supply.","21/01/2026"
"10113","RIFADIN rifampicin 20mg/mL oral liquid bottle","rifampicin","Oral Liquid","20 mg/mL","Sanofi-Aventis Australia Pty Ltd","1800818806","Anticipated","27/01/2026","30/01/2026",,"Critical","Available","Unexpected increase in consumer demand","An alternative presentation is available.","19/01/2026"
"101698","NUPENTIN 400 gabapentin 400 mg capsule blister pack","gabapentin","Capsule, hard","400 mg","Alphapharm Pty Ltd","1800274276","Current","8/12/2025","30/01/2026",,"Low","Limited Availability","Manufacturing","Alternative brands are available.","16/12/2025"
"104262","NEORECORMON epoetin beta (rch) 2000 IU/0.3 mL injection syringe","Epoetin beta","Injection","6666.66 IU/mL","Roche Products Pty Ltd","1800 233 950","Discontinued",,,"24/11/2025","Medium","Reduction in supply until supply is exhausted","Transport / Logistic issues / Storage capacity issues","Patients are advised to consult their healthcare professional to discuss alternative treatment options.","5/09/2025"
"104263","NEORECORMON epoetin beta (rch) 3000 IU/0.3 mL injection syringe","Epoetin beta","Injection","10000 IU/mL","Roche Products Pty Ltd","1800 233 950","Discontinued",,,"6/10/2025","Medium","Reduction in supply until supply is exhausted","Transport / Logistic issues / Storage capacity issues","Patients are advised to consult their healthcare professional to discuss alternative treatment options.","5/09/2025"
"104264","NEORECORMON epoetin beta (rch) 4000 IU/0.3 mL injection syringe","Epoetin beta","Injection","13333.33 IU/mL","Roche Products Pty Ltd","1800 233 950","Discontinued",,,"27/10/2025","Medium","Reduction in supply until supply is exhausted","Transport / Logistic issues / Storage capacity issues","Patients are advised to consult their healthcare professional to discuss alternative treatment options.","5/09/2025"
"104265","NEORECORMON epoetin beta (rch) 5000 IU/0.3 mL injection syringe","Epoetin beta","Injection","16666.67 IU/mL","Roche Products Pty Ltd","1800 233 950","Discontinued",,,"29/09/2025","Medium","Reduction in supply until supply is exhausted","Transport / Logistic issues / Storage capacity issues","Patients are advised to consult their healthcare professional to discuss alternative treatment options.","16/09/2025"
"104266","NEORECORMON epoetin beta (rch) 6000 IU/0.3 mL injection syringe","Epoetin beta","Injection","20000 IU/mL","Roche Products Pty Ltd","1800 233 950","Discontinued",,,"12/09/2025","Medium","Reduction in supply until supply is exhausted","Transport / Logistic issues / Storage capacity issues","Patients are advised to consult their healthcare professional to discuss alternative treatment options.","5/09/2025"
"104267","NEORECORMON epoetin beta (rch) 10 000 IU/0.6 mL injection syringe","Epoetin beta","Injection","16666.67 IU/mL","Roche Products Pty Ltd","1800 233 950","Discontinued",,,"5/01/2026","Medium","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","Patients are advised to consult their healthcare professional to discuss alternative treatment options.","5/09/2025"
"104482","LINK MEDICAL PRODUCTS DAPSONE dapsone 25mg tablet bottle","dapsone","Tablet, uncoated","25 mg","Link Medical Products Pty Ltd T/A Link Pharmaceuticals","1800 181 060","Anticipated","7/08/2026","31/12/2026",,"Low","Available","Manufacturing","","1/12/2025"
"104483","LINK MEDICAL PRODUCTS DAPSONE dapsone 100mg tablet bottle","dapsone","Tablet, uncoated","100 mg","Link Medical Products Pty Ltd T/A Link Pharmaceuticals","1800 181 060","Anticipated","1/09/2026","31/12/2026",,"Low","Available","Manufacturing","","1/12/2025"
"104493","TINASIL terbinafine 250mg (as hydrochloride) tablet blister pack","terbinafine hydrochloride","Tablet, uncoated","281.25 mg","Alphapharm Pty Ltd","1800274276","Current","27/08/2025","31/03/2026",,"Low","Unavailable","Manufacturing","Alternative brands are available.","16/01/2026"
"104542","VELCADE bortezomib 3.5 mg powder for injection vial","bortezomib","Injection, powder for","3.5 mg","Janssen-Cilag Pty Ltd","1800226334","Discontinued",,,"30/06/2025","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","Alternative generic products are available.","2/05/2024"
"104664","TARKA 4/240 trandolapril 4mg & verapamil hydrochloride 240mg tablet blister pack","verapamil hydrochloride~trandolapril","Tablet, film coated","240 mg~4 mg","Viatris Pty Ltd","1800 314 527","Resolved","1/10/2025","28/10/2025",,"Low","Available","Manufacturing","","29/10/2025"
"10480","INDOCID indometacin 100mg suppository strip pack","indometacin","Suppository, moulded","100 mg","Aspen Pharmacare Australia Pty Ltd","1300659646","Resolved","31/10/2025","1/12/2025",,"Medium","Available","Manufacturing","","1/12/2025"
"10592","TAMBOCOR flecainide acetate 150mg/15mL injection ampoule","flecainide acetate","Injection, solution","10 mg/mL","iNova Pharmaceuticals (Australia) Pty Ltd","1800 630 056","Resolved","6/12/2024","24/11/2025",,"Medium","Available","Transport / Logistic issues / Storage capacity issues","","25/11/2025"
"10681","CORDILOX SR verapamil hydrochloride 240mg tablet blister pack","verapamil hydrochloride","Tablet, modified release","240 mg","Viatris Pty Ltd","1800 314 527","Resolved","3/11/2025","26/11/2025",,"Low","Available","Manufacturing","","27/11/2025"
"10684","GASTROGRAFIN oral liquid bottle","sodium amidotrizoate~amidotrizoate meglumine","Oral Liquid, solution","100 mg/mL~660 mg/mL","Bayer Australia Ltd","1800008757","Discontinued",,,"5/11/2025","Low","Unavailable","Seasonal depletion of stock","This product is being replaced by GASTROGRAFIN oral liquid bottle (ARTG 471827).","6/11/2025"
"107286","PRIORIX-TETRA vaccine 0.5mL powder for injection vial with diluent syringe","Rubella virus~Measles virus~live varicella vaccine~Mumps virus","Injection, powder for","1000 CCID50~1000 CCID50~1995 PFU~25119 CCID50","GlaxoSmithKline Australia Pty Ltd","1800033109","Resolved","8/08/2025","28/10/2025",,"Critical","Available","Manufacturing","","28/10/2025"
"107330","CYPROTERONE SANDOZ cyproterone acetate 50 mg tablet bottle","cyproterone acetate","Tablet, uncoated","50 mg","Sandoz Pty Ltd","1800726369","Resolved","4/12/2025","4/12/2025",,"Low","Available","Unexpected increase in consumer demand","","6/01/2026"
"10756","MINIPRESS prazosin 1 mg (as hydrochloride) tablet blister pack","prazosin hydrochloride","Tablet, uncoated","1.095 mg","Pfizer Australia Pty Ltd","1800 675 229","Anticipated","13/04/2026","25/05/2026",,"Medium","Available","Unexpected increase in demand due to other sponsors unable to supply","The sponsor is working to expedite the next shipment.","22/12/2025"
"10758","MINIPRESS prazosin 5 mg (as hydrochloride) tablet blister pack","prazosin hydrochloride","Tablet, uncoated","5.476 mg","Pfizer Australia Pty Ltd","1800 675 229","Current","12/12/2025","31/03/2026",,"Low","Limited Availability","Unexpected increase in demand due to other sponsors unable to supply","Overseas registered products have been approved for supply under Section 19A. See the website and search for the active ingredient: https://www.tga.gov.au/resources/section-19a-approvals","22/12/2025"
"10776","Pfizer (Australia) TOBRAMYCIN (as sulfate) PF 80 mg/2 mL injection ampoule","tobramycin","Injection, solution","80 mg","Pfizer Australia Pty Ltd","1800-675-229","Current","3/12/2025","27/02/2026",,"Low","Emergency Supply Only","Manufacturing","Sponsor is closely controlling the supply. Alternative brands are available. An overseas registered product has been approved for supply under Section 19A. The approval holder, ORSPEC Pharma Pty Ltd, can be contacted for details on supply on 02 4339 4239.","4/12/2025"
"11008","TRACRIUM atracurium besilate 25mg/2.5mL injection ampoule","atracurium besilate","Injection, intravenous infusion","10 mg/mL","Aspen Pharmacare Australia Pty Ltd","1300659646","Current","7/11/2025","30/01/2026",,"Medium","Unavailable","Manufacturing","Sponsor is working to expedite the next shipment.","14/11/2025"
"11038","LIORESAL 10 baclofen 10mg tablet bottle","baclofen","Tablet, uncoated","10 mg","Novartis Pharmaceuticals Australia Pty Ltd","02 98053555","Discontinued",,,"1/03/2026","Low","Reduction in supply until supply is exhausted","Commercial Changes / Commercial viability","This product is being replaced by LIORESAL 10 baclofen 10mg tablet blister pack ARTG 462705","8/01/2026"
"11040","LOCACORTEN-VIOFORM ear drops bottle","flumetasone pivalate~clioquinol","Ear Drops",".2 mg/mL~10 mg/mL","Amdipharm Mercury Australia Pty Ltd","1800627680","Anticipated","15/07/2026","31/12/2026",,"Low","Available","Commercial Changes / Commercial viability","Sponsor is working to expedite the next shipment.","15/01/2026"
"11060","SYNACTHEN DEPOT tetracosactide (tetracosactrin) zinc complex 1mg/1m L injection ampoule","tetracosactide","Injection, modified release","1 mg/mL","Atnahs Pharma Australia Pty Ltd","1800 899 005","Current","1/02/2019","30/11/2026",,"Critical","Unavailable","Manufacturing","","16/10/2025"
"11064","TOFRANIL 10 imipramine hydrochloride 10mg tablet blister pack","imipramine hydrochloride","Tablet, sugar coated","10 mg","Amdipharm Mercury Australia Pty Ltd","1800627680","Anticipated","1/02/2026","1/03/2026",,"Critical","Available","Manufacturing","Sponsor is working to expedite the next shipment","20/11/2025"
